file_index,timestamp_iso,direction,speed_deg_per_sec,part,sigma,trial_index,stage_in_trial
1,2026-01-15T11:18:05.2679670+09:00,"yaw",30,"front",0.89,2,1
1,2026-01-15T11:18:24.5503139+09:00,"yaw",30,"side",1.32,2,2
1,2026-01-15T11:18:41.7249415+09:00,"yaw",60,"front",0.89,5,1
1,2026-01-15T11:18:51.5064069+09:00,"yaw",60,"side",1.32,5,2
1,2026-01-15T11:18:29.7795261+09:00,"yaw",90,"front",0.89,3,1
1,2026-01-15T11:18:30.3488717+09:00,"yaw",90,"side",1.32,3,2
1,2026-01-15T11:18:31.9093484+09:00,"roll",30,"main",0.9,4,1
1,2026-01-15T11:17:35.3866956+09:00,"roll",60,"main",0.9,1,1
1,2026-01-15T11:19:32.7933825+09:00,"roll",90,"main",0.9,8,1
1,2026-01-15T11:19:36.1005612+09:00,"pitch",30,"front",0.85,9,1
1,2026-01-15T11:19:37.2052907+09:00,"pitch",30,"top",1.79,9,2
1,2026-01-15T11:18:58.1063338+09:00,"pitch",60,"front",0.85,6,1
1,2026-01-15T11:19:11.3602034+09:00,"pitch",60,"top",0.85,6,2
1,2026-01-15T11:19:18.0704230+09:00,"pitch",90,"front",0.85,7,1
1,2026-01-15T11:19:27.1830500+09:00,"pitch",90,"top",1.79,7,2
